timestamp,btc_open,btc_close,btc_volume,btc_number_of_trades,eth_open,eth_close,eth_volume,eth_number_of_trades,djia_open,djia_close,djia_volume,ixic_open,ixic_close,ixic_volume
1563410000000.0,10628.64,10504.29,56546.93213,567735,225.75,220.73,371622.2187,178357,27191.98047,27222.9707,216070000.0,8151.75977,8207.24023,2016310000.0
1563490000000.0,10505.78,10740.23,47331.89985,461660,220.84,228.2,325393.9723,158590,27246.38086,27154.19922,287690000.0,8241.33984,8146.49023,1878730000.0
1563580000000.0,10740.27,10589.45,38834.28794,395452,228.25,225.38,270046.1519,149561,27222.3138,27160.09961,263896666.7,8218.223303,8165.706703,1867743333.0
1563670000000.0,10590.15,10340.31,40467.95484,389565,225.49,217.51,271310.4045,155651,27198.24675,27166.0,240103333.3,8195.106767,8184.923177,1856756667.0
1563750000000.0,10343.08,9864.91,47624.37071,448147,217.59,212.48,317876.4824,169515,27174.17969,27171.90039,216310000.0,8171.99023,8204.13965,1845770000.0
1563840000000.0,9864.78,9763.28,43475.38038,424762,212.55,216.31,331162.6484,188919,27231.85938,27349.18945,248850000.0,8242.5,8251.40039,1832220000.0
1563930000000.0,9763.4,9879.87,37873.35473,368176,216.31,219.14,280370.2963,167223,27262.24023,27269.9707,244320000.0,8227.36035,8321.5,1947550000.0
1564010000000.0,9882.15,9824.0,27167.46322,299935,219.14,218.81,197781.9865,133271,27247.39062,27140.98047,241420000.0,8294.67969,8238.54004,2023130000.0
1564100000000.0,9824.0,9476.52,43809.7783,401418,218.81,207.3,301209.4111,180170,27166.0,27192.44922,233650000.0,8294.2998,8330.20996,1954350000.0
1564190000000.0,9478.92,9541.54,29401.02294,271327,207.3,211.62,218801.1669,132599,27174.74674,27202.08268,239383333.3,8304.566403,8317.916667,1927826667.0
1564270000000.0,9541.54,9507.64,29021.93741,294468,211.58,210.89,226941.28,133256,27183.49349,27211.71615,245116666.7,8314.833007,8305.623373,1901303333.0
1564360000000.0,9509.07,9574.21,32536.36883,283961,210.84,209.58,222683.7939,129043,27192.24023,27221.34961,250850000.0,8325.09961,8293.33008,1874780000.0
